step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
11,PAYMENT,25798.95,C702538718,0,0,M1855675767,0,0,0,0
35,TRANSFER,1518844.27,C496324752,220,0,C1874949385,3156553.35,4123318.05,0,0
35,TRANSFER,294168.49,C2115227536,1257,0,C621557579,107081.05,401249.53,0,0
18,CASH_OUT,107960.93,C1796238564,10928,0,C884224730,2245881.24,2353842.17,0,0
46,TRANSFER,797507.9,C1101628807,68677.33,0,C1839590606,1088989.79,1886497.68,0,0
36,CASH_OUT,134291.3,C141700986,306207.89,171916.59,C1180947771,635978.03,770269.32,0,0
37,PAYMENT,18137.85,C1595774276,11366,0,M1401830048,0,0,0,0
34,CASH_IN,9250.61,C459914541,3176440.16,3185690.77,C2056524531,3566307.06,3557056.45,0,0
18,PAYMENT,29077.23,C53956493,307,0,M385885791,0,0,0,0
11,PAYMENT,1162.29,C1692483651,0,0,M1681010508,0,0,0,0
13,CASH_OUT,106080.94,C1731841560,0,0,C17776332,589395.12,755079.76,0,0
14,CASH_IN,332521.33,C561022008,16197336.5,16529857.82,C1865974996,1356797.25,1024275.92,0,0
18,PAYMENT,442.39,C940511632,47731,47288.61,M656253367,0,0,0,0
22,CASH_IN,44214.72,C197191344,22408,66622.72,C2089313881,955492.3,911277.58,0,0
13,TRANSFER,1228998.33,C1039353672,22359,0,C2080658995,8716.85,1237715.18,0,0
34,CASH_OUT,326189.94,C1894488012,0,0,C516920521,928778.02,1344376.95,0,0
40,CASH_IN,21552.4,C370414900,10938,32490.4,C1626764360,0,0,0,0
38,CASH_IN,206365,C718705170,6857177.34,7063542.34,C606473293,1541554.92,1335189.92,0,0
14,PAYMENT,3111.65,C1888484880,201766.4,198654.75,M408606113,0,0,0,0
34,CASH_IN,266354.07,C742794769,11454,277808.07,C60959522,202180.86,0,0,0
35,CASH_OUT,190422.3,C1494941367,83920.28,0,C827667820,1783633.51,1974055.81,0,0
17,PAYMENT,13313.07,C823209684,472994,459680.93,M2014393791,0,0,0,0
19,CASH_OUT,175469.49,C1844188042,0,0,C1135710936,595340.68,770810.17,0,0
40,CASH_OUT,162591.49,C1893714400,0,0,C1563613407,3275774.11,3438365.6,0,0
41,TRANSFER,851913.17,C554998552,0,0,C1203878704,1145544.68,1997457.86,0,0
13,PAYMENT,2602.52,C684942091,0,0,M1089059701,0,0,0,0
20,PAYMENT,1888.32,C1573677120,12204,10315.68,M1616320202,0,0,0,0
43,CASH_OUT,84611.61,C357787326,0,0,C1383561377,139958.23,224569.83,0,0
25,PAYMENT,25674.04,C1470630429,38035.44,12361.4,M851409126,0,0,0,0
94,PAYMENT,5720.42,C1406442942,0,0,M68566264,0,0,0,0
7,CASH_OUT,357079.24,C135388290,0,0,C105002686,465473,1212223.31,0,0
38,PAYMENT,4862.05,C2121640137,199699,194836.95,M1630557262,0,0,0,0
13,CASH_IN,115927.12,C1501317479,21954,137881.12,C1944704208,412124.95,296197.83,0,0
43,CASH_OUT,371358.86,C91497814,0,0,C915216107,637636.15,1008995.01,0,0
21,PAYMENT,11714.02,C873681440,15871,4156.98,M301036158,0,0,0,0
14,PAYMENT,25679.82,C295953271,0,0,M1698878202,0,0,0,0
19,CASH_OUT,594950.29,C839150812,0,0,C2095965600,1974496.09,2569446.38,0,0
16,CASH_IN,132825.76,C1157022529,243132,375957.76,C1960196431,2322288.87,2189463.11,0,0
34,PAYMENT,1811.13,C1982237409,682731,680919.87,M1618725551,0,0,0,0
16,CASH_IN,516515.14,C1784442759,58013.1,574528.24,C298073974,753,145708.79,0,0
12,CASH_OUT,192018.26,C562820514,20267,0,C340368210,723377.94,1746082.37,0,0
9,CASH_OUT,174458.02,C1799321537,47259,0,C869533279,0,1145978.2,0,0
36,CASH_IN,39212.28,C93654479,2326390.91,2365603.18,C298243511,114184.19,74971.92,0,0
17,CASH_IN,68428.22,C1957084768,1301164.92,1369593.14,C707636572,451835.36,383407.14,0,0
11,CASH_OUT,13617.91,C2004826810,0,0,C229313132,1666125.87,1679743.79,0,0
10,TRANSFER,1401774.23,C1909617604,0,0,C170503405,1921434.02,4187653.15,0,0
9,PAYMENT,14503.27,C833655988,65706.05,51202.78,M1950132865,0,0,0,0
36,CASH_OUT,315025.24,C1450774151,0,0,C38487415,2002735.52,2823615.2,0,0
17,CASH_IN,285239.64,C424087280,441,285680.64,C1854292331,1743015.46,1692883.33,0,0
13,TRANSFER,1222.78,C442586388,966.9,0,C1974554596,1667157.44,1845592.62,0,0
43,CASH_OUT,280801.16,C55715110,41125,0,C204708039,421578.13,702379.29,0,0
45,PAYMENT,8815.46,C2018566725,0,0,M718294045,0,0,0,0
38,CASH_OUT,134935.51,C2005983315,320296,185360.49,C807911613,658512.02,793447.52,0,0
21,CASH_OUT,114680.89,C359882160,0,0,C1910341016,156089.92,270770.81,0,0
38,CASH_OUT,41757.34,C1794781303,0,0,C1491711663,102863.65,144620.99,0,0
35,PAYMENT,13850.73,C1740858148,23569.69,9718.96,M244410101,0,0,0,0
38,PAYMENT,2245.06,C1839598228,0,0,M961861625,0,0,0,0
36,CASH_IN,378527.17,C1366648876,19139616.94,19518144.11,C1843619384,445663.82,67136.64,0,0
20,TRANSFER,446423.21,C1001250091,153562,0,C1576038974,755838.82,1202262.03,0,0
43,PAYMENT,7785.77,C1003247039,15607,7821.23,M1731795055,0,0,0,0
19,CASH_OUT,166614.42,C1339971204,41868,0,C348206384,47466.89,354095.37,0,0
43,CASH_OUT,90942.22,C1272407536,0,0,C1584893590,109394.32,200336.53,0,0
12,PAYMENT,6879.38,C272598463,22637,15757.62,M938085155,0,0,0,0
10,CASH_IN,109489.38,C971202439,11651010.14,11760499.51,C1810970338,207616.12,77668.49,0,0
34,CASH_OUT,289650.01,C1609689028,15688,0,C792998335,0,419403.28,0,0
35,PAYMENT,5575.74,C538928878,0,0,M857503594,0,0,0,0
14,CASH_IN,118808.55,C1673317911,11080,129888.55,C903088573,0,0,0,0
18,CASH_OUT,15165.37,C257242881,0,0,C598484280,31377,29222.77,0,0
41,PAYMENT,18788.99,C1306846502,39995.01,21206.03,M1632376254,0,0,0,0
16,CASH_OUT,93811.11,C2082262359,211802.37,117991.26,C304668888,697174.25,466391.96,0,0
14,TRANSFER,624179.15,C768223913,0,0,C1423847048,2804862.52,3429041.68,0,0
15,PAYMENT,4882.09,C1231121627,0,0,M507970571,0,0,0,0
41,PAYMENT,3550.69,C1451653159,0,0,M431875669,0,0,0,0
43,CASH_OUT,314108.39,C1416946992,0,0,C2130872679,4282452.96,4596561.35,0,0
44,TRANSFER,55037.51,C1386995250,0,0,C792838582,611651.07,666688.59,0,0
3,CASH_OUT,44921.54,C1690221909,19200.01,0,C709091500,80305.45,125226.99,0,0
35,CASH_OUT,479606.16,C443005548,26252,0,C2071941803,103256.33,582862.49,0,0
37,PAYMENT,28861.26,C1957778,90571,61709.74,M1281944284,0,0,0,0
35,TRANSFER,678768.1,C794913554,11836,0,C890537176,108063.71,786831.81,0,0
19,TRANSFER,498877.56,C1944695564,317748.39,0,C1957968295,260656.88,575200.88,0,0
36,PAYMENT,61249.81,C455850025,0,0,M580073400,0,0,0,0
15,CASH_IN,281838.85,C448720041,7205312.05,7487150.91,C1635341595,10242696.83,10265069.41,0,0
40,CASH_IN,264864.66,C32724888,5957711.89,6222576.55,C1314159063,309747.97,44883.32,0,0
15,TRANSFER,824273.71,C81850977,0,0,C1153095452,1155967.39,1980241.09,0,0
21,CASH_OUT,76930.73,C1783497270,2302,0,C1759268497,878438.57,955369.3,0,0
43,TRANSFER,453428.41,C1140651385,52138,0,C21069748,676681.92,1130110.34,0,0
43,PAYMENT,331.66,C291995020,0,0,M587455287,0,0,0,0
17,CASH_OUT,134802.4,C989484145,115450,0,C259521162,20148,0,0,0
36,PAYMENT,10486.15,C765039257,0,0,M356550791,0,0,0,0
11,CASH_OUT,478109.9,C1156513169,907420.02,429310.12,C1377020151,51310.99,576120.48,0,0
19,CASH_OUT,16203.11,C58212082,31982,15778.89,C2083245037,78164.34,801951.93,0,0
13,CASH_OUT,242944.19,C1183134978,41599,0,C415202107,19246,0,0,0
33,PAYMENT,5707.9,C192212974,11203,5495.1,M1812464221,0,0,0,0
15,PAYMENT,13638.42,C1406193515,37704,24065.58,M1083955679,0,0,0,0
36,PAYMENT,18786.82,C1304025418,42170,23383.18,M939100141,0,0,0,0
19,CASH_OUT,317675.51,C946447761,463404,145728.49,C1328559744,0,417207.71,0,0
16,CASH_IN,322699.65,C1480391273,7994578.98,8317278.63,C1298333001,5969664.73,5646965.07,0,0
15,CASH_OUT,178256.55,C926296413,0,0,C1818633252,957613.52,1218572.55,0,0
41,CASH_OUT,21382.62,C1697441960,0,0,C1482143068,506384.29,527766.91,0,0
38,CASH_OUT,113329.95,C1850694918,0,0,C1905750738,1433456.29,1546786.24,0,0
15,CASH_OUT,2851.36,C853783445,0,0,C1480045282,628961.23,631812.59,0,0
19,CASH_OUT,240064.93,C1089054798,101080,0,C1875175178,72923.77,312988.7,0,0
39,CASH_OUT,52485.89,C790919641,0,0,C1446746608,1698203.82,2517046.86,0,0
19,PAYMENT,494.73,C1694503468,87839.73,87345,M1526160797,0,0,0,0
41,CASH_OUT,274277.17,C1290591924,79572,0,C381637778,18333943.29,18608220.46,0,0
34,CASH_IN,112919.1,C1603942192,14803591.14,14916510.24,C1731643198,113826.87,907.77,0,0
12,CASH_OUT,16300.12,C2109148600,27310,11009.88,C1133508040,0,16300.12,0,0
17,PAYMENT,3711.02,C1517937272,0,0,M1768352077,0,0,0,0
15,PAYMENT,3386.22,C1411790994,0,0,M2098483882,0,0,0,0
19,PAYMENT,8652.97,C1778916706,285047.06,276394.08,M9897763,0,0,0,0
8,CASH_IN,238580.3,C801340077,131668,370248.3,C1938462589,0,0,0,0
36,PAYMENT,23619.31,C243262201,1258.97,0,M916979995,0,0,0,0
40,CASH_OUT,391827.78,C468078516,144,0,C1738287352,201010.63,592838.41,0,0
11,CASH_IN,410998.53,C1960437753,6260307.05,6671305.58,C109490548,1609443.77,1345477.93,0,0
20,PAYMENT,5861.02,C2110653839,1001584.77,995723.75,M619904210,0,0,0,0
13,TRANSFER,1139290,C929272954,12867,0,C955392335,37173.45,1176463.45,0,0
34,CASH_IN,214717.51,C175972356,230519,445236.51,C239731893,317955.41,417560.51,0,0
42,PAYMENT,9790.41,C2066740013,34855,25064.59,M1004777397,0,0,0,0
47,CASH_IN,342212.1,C690327949,6130211.32,6472423.42,C123065630,925926.41,583714.31,0,0
43,PAYMENT,6165.49,C1096011003,35038.79,28873.3,M367186726,0,0,0,0
21,PAYMENT,6635.63,C1457887997,171479,164843.37,M1984093655,0,0,0,0
36,CASH_IN,95722,C1543452384,1702849.3,1798571.3,C72703805,170715.4,74993.4,0,0
42,CASH_OUT,141808.21,C1537731882,9089,0,C2112601563,2151029.07,2292837.28,0,0
34,CASH_OUT,23657.68,C1429380059,42020,18362.32,C799377093,0,23657.68,0,0
11,CASH_OUT,274583.57,C59369851,49631,0,C941464391,0,274583.57,0,0
18,PAYMENT,13643.34,C2011212260,94466,80822.66,M933082684,0,0,0,0
40,PAYMENT,11632.31,C561515229,261889.15,250256.84,M1815934637,0,0,0,0
34,CASH_OUT,242804.32,C1257388321,0,0,C971899805,1778851.93,2021656.24,0,0
19,CASH_OUT,80719.88,C21697414,40866,0,C1644273565,8558.08,113895.22,0,0
94,PAYMENT,29836.47,C599164286,0,0,M12634745,0,0,0,0
10,PAYMENT,7010.75,C1886054508,0,0,M1501523490,0,0,0,0
37,PAYMENT,400.55,C184500209,467348.14,466947.59,M1135603602,0,0,0,0
21,PAYMENT,31318.8,C227672801,31575,256.2,M1924298481,0,0,0,0
42,CASH_OUT,59048.16,C964398921,0,0,C623302137,1423005.26,1700440.04,0,0
12,CASH_OUT,650970.61,C1375260326,0,0,C929849983,1000990.93,1651961.55,0,0
42,CASH_OUT,39777.91,C562081075,63,0,C1624263766,0,10610.41,0,0
8,PAYMENT,10040.31,C2041059919,135228.04,125187.73,M704999142,0,0,0,0
34,CASH_IN,200798.76,C1435301958,51176,251974.76,C1281523888,273670.4,72871.64,0,0
12,CASH_OUT,77406.5,C471420041,0,0,C376023323,402456,479862.5,0,0
43,PAYMENT,1182.45,C1113094659,53809,52626.55,M1408271240,0,0,0,0
10,CASH_OUT,58781.82,C1957760937,43860,0,C151015751,557382.1,957569.97,0,0
36,CASH_OUT,119213.46,C617392018,57159,0,C1816330627,146139.52,265352.97,0,0
9,PAYMENT,10747.96,C1630188556,0,0,M914031416,0,0,0,0
15,CASH_OUT,214632.33,C1268445374,222222.13,7589.8,C2114708999,710204.91,924837.24,0,0
44,CASH_IN,234066.89,C633100719,885252,1119318.89,C322718083,656389.09,422322.2,0,0
10,CASH_OUT,277381.97,C355910183,59535,0,C1951367872,1112868.52,1903532.15,0,0
37,CASH_IN,138119.06,C1078990338,673370.67,811489.73,C1798083766,6376910.96,6238791.9,0,0
41,TRANSFER,200312.1,C788744474,0,0,C754519004,4848904.2,5049216.3,0,0
38,CASH_IN,156873.36,C1099612612,5910681.36,6067554.72,C1413033701,4743722.67,4586849.31,0,0
17,TRANSFER,1876423.69,C1517834434,21342,0,C977993101,5992352.63,7868776.32,0,0
18,CASH_OUT,183682.65,C255444809,0,0,C1512214763,920822.13,1104504.78,0,0
9,CASH_OUT,180414.81,C1852320326,0,0,C738480180,195460,452550.67,0,0
11,PAYMENT,7764.87,C595662422,0,0,M984194238,0,0,0,0
10,TRANSFER,2653738.16,C1704522756,80354,0,C1886668612,114483,5708332.08,0,0
11,CASH_OUT,396381.11,C97095116,311336,0,C1849228113,346281.41,962801.41,0,0
46,CASH_IN,344586.32,C742383448,4970110.3,5314696.63,C79762728,449025.19,104438.87,0,0
35,CASH_OUT,223665.04,C2094332096,22683,0,C862394631,2986394.25,3210059.29,0,0
46,TRANSFER,214768.91,C580186478,37672,0,C1050748835,666725.72,881494.62,0,0
35,TRANSFER,819239.77,C829718441,0,0,C1637270309,9941654.99,11148405.42,0,0
12,PAYMENT,954.9,C1978414770,56029.04,55074.14,M1523863944,0,0,0,0
37,PAYMENT,26763.5,C351840910,0,0,M838971117,0,0,0,0
41,PAYMENT,1900.12,C1637401822,219607.53,217707.41,M815416147,0,0,0,0
95,CASH_OUT,393084.98,C1651753524,0,0,C1660507242,3841831.45,4234916.42,0,0
20,PAYMENT,6519.99,C1564461747,164171.33,157651.34,M118170199,0,0,0,0
19,PAYMENT,21573.57,C1711555543,29387.79,7814.22,M1373708078,0,0,0,0
18,CASH_OUT,78888.04,C233172533,25079,0,C1592646034,0,103238.78,0,0
14,CASH_OUT,324008.17,C1058480903,18400,0,C952280731,927152.18,1226271.93,0,0
8,CASH_OUT,291969.46,C1625854183,0,0,C75629578,438791.56,707849.71,0,0
36,PAYMENT,23808.92,C367093428,1282700.63,1258891.71,M215670475,0,0,0,0
21,TRANSFER,97540.18,C1287859443,0,0,C1079150572,3515924.31,3613464.49,0,0
37,CASH_OUT,28612.34,C1421808344,7000,0,C34443160,2914576.17,3638274.7,0,0
15,PAYMENT,790.83,C12032016,42371,41580.17,M1137059494,0,0,0,0
17,CASH_OUT,45192.87,C38522728,264196,219003.13,C1189106564,0,45192.87,0,0
8,PAYMENT,4039.99,C10762261,4583,543.01,M269230754,0,0,0,0
10,CASH_IN,233765.76,C814160527,107945,341710.76,C2085581342,130905.25,0,0,0
40,PAYMENT,8461.77,C168464785,193137.1,184675.32,M1133231151,0,0,0,0
42,TRANSFER,655129.14,C433372960,17029,0,C860868188,5248815.82,5903944.97,0,0
33,CASH_OUT,328748.92,C242827593,80846,0,C1703164443,109911.61,438660.53,0,0
8,CASH_IN,23491.87,C943015,1646,25137.87,C1890258988,661486.36,551751.19,0,0
18,CASH_IN,161147.53,C1413308830,0,161147.53,C1786636779,1128063.2,997375.24,0,0
10,CASH_OUT,89103.63,C149799133,895439,806335.37,C1924874046,671771.55,760875.18,0,0
22,CASH_OUT,92276.68,C1915727090,144113,51836.32,C1163444672,184056.97,276333.65,0,0
14,PAYMENT,13378.7,C477168124,219561.1,206182.4,M2138626693,0,0,0,0
14,CASH_IN,99412.62,C1612962053,14631604.42,14731017.04,C1250349563,1047432.57,948019.95,0,0
41,PAYMENT,1724.38,C993635746,2528,803.62,M658572879,0,0,0,0
39,PAYMENT,13332.09,C1358781076,10759,0,M1461357297,0,0,0,0
43,CASH_IN,57817.64,C158436293,5387084.23,5444901.87,C1974634263,274006.52,216188.88,0,0
15,PAYMENT,2734.14,C885140712,0,0,M1691829208,0,0,0,0
19,CASH_OUT,319744.35,C1258784871,0,0,C1688054746,901590.27,1221334.63,0,0
16,CASH_OUT,438525.21,C4794476,0,0,C2145961947,8584967.21,9023492.42,0,0
17,PAYMENT,7456.25,C53496801,397644,390187.75,M1595383,0,0,0,0
19,PAYMENT,19919.44,C6446407,363,0,M667108795,0,0,0,0
11,PAYMENT,8342.09,C60262361,0,0,M1851782335,0,0,0,0
44,PAYMENT,1625.08,C953561914,166867,165241.92,M1893692320,0,0,0,0
15,CASH_IN,45193.26,C1835900290,11160,56353.26,C1019227219,0,0,0,0
41,PAYMENT,2811.85,C279485414,10009,7197.15,M1619848857,0,0,0,0
34,CASH_IN,72977.25,C691027886,12767699.49,12840676.74,C83353051,530003.5,62013.89,0,0
10,PAYMENT,6853.69,C1212181516,11358,4504.31,M8912445,0,0,0,0
41,PAYMENT,765.39,C1126025786,0,0,M1825380421,0,0,0,0
39,CASH_IN,174192.56,C1124266797,464618.32,638810.88,C1899017066,2784496.72,2610304.16,0,0
15,PAYMENT,5444.09,C1572050861,70283,64838.91,M1557113067,0,0,0,0
44,TRANSFER,411042.32,C637144198,204811.12,0,C669481941,979041.62,1390083.94,0,0
43,CASH_OUT,138398.76,C716068378,11145,0,C121729362,4903983.49,5120046.13,0,0
